Nome,Latitude,Longitude
PANE E FARINA,9.19141895618,45.4598352681
SPAZIO FITZCARRALDO,9.20134571749,45.4522832598
PELLEDOCA,9.26754005567,45.4620159969
OSTERIA BEL SIT,9.14976255345,45.4332109418
AMNESIA,9.24076579579,45.4631101648
VOLT,9.18409173969,45.4570983952
OLD FASHION CAFE',9.17358277096,45.4722116812
NIDABA,9.17575753865,45.448986319
BAR CAFFE' DORIA,9.21165574468,45.4854182058
VENUS,9.18940653455,45.4626308186
HOLLYWOOD,9.18722592336,45.4826225026
PIETRO CACCIALANZA,9.22831656859,45.4951998555
WILLIAM'S,9.19554201763,45.4770362746
THE CLUB,9.1842071,45.4774414
DISTRICT 272,9.2453423184,45.5075796741
AL 113,9.16048564295,45.4483921466
SAYONARA AMERICAN PIANO BAR,9.16012969091,45.4723936121
OLD CAMILLO'S PUB,9.17779226947,45.4500022626
CRAZY BULL CAFE',9.19382753297,45.4646022735
RISTORANTE LATINO AMERICANO CARIBE,9.21644724718,45.4383476426
FRIDA,9.18731807202,45.4886742764
LA GROTTA,9.1797531269,45.5030104531
OSTERIALNOVE,9.18874159738,45.4918586082
EL BRELLIN,9.17505814578,45.4519510151
OUT OFF,9.15809675336,45.4927649046
EXTASIA,9.19836307043,45.4634710942
CRISTAL,9.17791455687,45.4505028827
NEPENTHA,9.19040723452,45.4625418289
CAVEU MONTMATRE,9.18550782215,45.4718627047
RICCI,9.1986252712,45.480929637
LE ROI DE MILAN,9.20651257402,45.4844847465
TOMBINO,9.15282979749,45.4609369598
TUNNEL,9.20901778026,45.4921946614
LA BANQUE,9.18695126461,45.4661768607
CLUB HAUS 80'S,9.18260472012297,45.4942958664626
ALCATRAZ,9.18260472012297,45.4942958664626
BLUE EYES,9.23505767072,45.4616846302
SANS EGAL,9.18568799743,45.47212461
TOTEM PUB,9.17693664031,45.4488111983
BAR DORIA,9.21841900528,45.4759797369
LA SCOGLIERA 2,9.15302076082,45.4915644247
COPACABANA,9.17553149026,45.5040173031
EL JADIDA,9.18838611915,45.4419918686
PACINO CAFFE',9.21452509593,45.4811605588
OSTERIA CANTAMILANO,9.17330158391,45.4527008626
LA CORTE DELLA RISAIA,9.13959618614,45.4275228281
NEW FOR YOU,9.17328100024,45.4571964461
ART FACTORY,9.21126973704,45.4857145896
TA BONITO,9.16018547065,45.4437749908
SEMPIONE CAFE',9.17451398531,45.4772051852
MIAMI LOUNGE MILANO,9.18815849421,45.4810021557
INSOMNIA PUB,9.2439149387,45.5181660665
BLACK HOLE,9.21777174947339,45.4608308586914
PITBULL CAFE’,9.18722658883,45.4821906301
CAFFE’ NOVECENTO,9.18710663948,45.4817916457
LA SACRESTIA,9.17692306462,45.4457567904
ISOLA DELLA BIRRA,9.18551067835,45.4893713922
MEMPHIS CAFE’,9.20013688641,45.4489391044
LOOLAPALOOSA,9.18722592336,45.4826225026
RISTORANTE LAS PALMERAS,9.23867303894,45.4330912998,
RIO’S,9.1956485786,45.4904261491
PORTA D'ORO,9.19040816621,45.462327661
RAGOO,9.22231911413,45.5039732162
BAR BRERA,9.18744603431,45.4723787241
RISTORANTE COREANO HANA,9.2050803258,45.4781363723
KARAOKE INSIEME,9.21849330663,45.4913889199
GATTOPARDO MILANO DISCO CLUB,9.16155857043,45.4852199754
ROXANNE CAFE’,9.17818853037,45.4515540225
JAZZ CAFE',9.17061142968,45.4773494666
NEW MADISON,9.13895676668,45.4974523901
KING,9.18917489574,45.4614965432
MURPHY'S LAW,9.16655209183,45.4551608083
BLOODY MARY,9.23919990139,45.4910523526
CHI MI AMA,9.12963272452,45.496368003
SALA NUOVO BOCCIODROMO,9.17570037475,45.4225415882
QUANTIC,9.19305175375,45.4622557301
RISTORANTE AL BORGO,9.16842014264,45.4887162458
